,spanish,english
414,maldito,damned
415,unas,nail
416,muchos,Many
417,hubiera,had
418,segundo,second
419,pueda,can
420,dime,tell me
421,igual,Likewise
422,comida,food
423,ay,Oh
424,cuerpo,body
425,encontrar,find
426,fuerte,strong
427,vuelta,return
428,creer,believe
429,realidad,reality
430,saben,they know
431,puta,bitch
432,deberías,you should
433,pregunta,question
434,fui,I was
435,cuatro,four
436,sra,Mr / Ms
437,primer,first
438,trabajar,to work
439,e,and
440,hagas,you do
441,alto,high or tall
442,maldita,damned
443,comer,eat
444,número,number
445,dar,give
446,necesitas,you need
447,oportunidad,chance
448,misma,same
449,última,last
450,afuera,outside
451,mujeres,women
452,pensar,think
453,fueron,were
454,difícil,hard
455,vivir,to live
456,paso,He passed
457,malo,bad
458,estabas,you were
459,haga,make
460,queda,is left over
461,fiesta,party
462,hacen,do
463,medio,"means, medium"
464,algunas,some
465,basta,Enough
466,arma,weapon
467,vino,wine
468,meses,months
469,cuarto,bedroom
470,éste,this
471,escuela,school
472,esté,this
473,dólares,Dollars
474,tío,uncle
475,posible,possible
476,tuve,I had
477,fácil,easy
478,preocupes,worry
479,luz,light
480,eran,they were
481,carajo,fuck
482,final,final
483,lista,list
484,trata,about
485,armas,weapons
486,hermana,sister
487,exactamente,exactly
488,chicas,girls
489,podía,I could
490,bastante,Quite
491,seguridad,security
492,pasando,going
493,esperando,expecting
494,acá,here
495,teléfono,phone
496,perro,dog
497,fuego,fire
498,murió,he died
499,tampoco,neither
500,sola,alone
501,estuvo,he was
502,verte,to see you
503,iré,I will go
504,tenido,Dyed
505,culpa,fault
506,veras,you'll see
507,adónde,where to
508,buscando,searching
509,cuanto,how much
510,padres,parents
511,paz,peace
512,demonios,got damn
513,estará,will be
514,cual,which
515,perdón,sorry
516,asi,So
517,jugar,play
518,pensando,thinking
519,esperar,wait
520,sabemos,we know
521,recuerdo,I remember
522,par,pair
523,joven,young
524,seguir,"follow, continue"
525,pueblo,town
526,tenga,have
527,caballeros,gentlemen
528,idiota,moron
529,dio,gave
530,minuto,minute
531,bebé,baby
532,única,only
533,lejos,far
534,nuestras,our
535,plan,plan
536,pienso,I think
537,sentido,sense
538,dormir,sleep
539,digas,you say
540,palabra,word
541,correcto,Right
542,control,control
543,vemos,we see
544,entiendes,You understand
545,seis,six
546,ésta,is
547,diga,tell
548,podrías,could you
549,pequeña,small
550,cállate,shut
551,trato,treatment
552,rey,King
553,sucede,happens
554,muchachos,boys
555,jamás,Never
556,cama,bed
557,srta,Ms
558,ayudar,to help
559,acerca,about
560,cambio,change
561,falta,lack
562,hospital,hospital
563,lleva,carry
564,presidente,President
565,mil,one thousand
566,gusto,taste
567,conoces,you know
568,diciendo,saying
569,os,you
570,ido,gone
571,general,general
572,extraño,strange
573,semanas,weeks
574,coche,car
575,peor,worse
576,mucha,a lot
577,disculpe,excuse me
578,diré,I'll say
579,anoche,last night
580,perder,to lose
581,vámonos,Let's go
582,nave,ship
583,cielo,Darling
584,segura,safe
585,querida,Dear
586,niña,little girl
587,increíble,amazing
588,además,what's more
589,deben,should
590,libro,book
591,calle,Street
592,piensas,think
593,hacemos,we make
594,especial,special
595,queremos,we want
596,irme,leave
597,perfecto,perfect
598,buscar,search
599,odio,hate
600,piensa,think
601,oficina,office
602,hablas,speak
603,libre,free
604,agente,agent
605,york,york
606,llamar,to call
607,mala,bad
608,detrás,behind
609,viste,dresses
610,dile,tell him
611,grandes,big
612,recuerdas,remember
613,real,real
614,estaban,They were
615,mía,mine
616,frente,front
617,llamo,I call
618,muertos,dead
619,millones,millions
620,asesino,assassin
621,sueño,dream
622,quisiera,I'd like
623,habría,there would be
624,hará,will
625,viaje,travel
626,probablemente,probably
627,resto,rest
628,estaré,I will be
629,maldición,curse
630,lamento,lament
631,muchacho,young guy
632,avión,plane
633,ropa,clothing
634,fuerza,force
635,llamado,called
636,oído,hearing
637,dado,dice
638,encima,above
639,negro,black
640,usar,use
641,información,information
642,preguntas,questions
643,tuvo,He had
644,secreto,secret
645,vuelve,comes back
646,miren,look
647,quieras,want
648,haría,would do
649,acaba,just
650,otras,other
651,incluso,even
652,sientes,you feel
653,deberíamos,we should
654,haz,do
655,decirte,tell you
656,boca,mouth
657,dolor,pain
658,baño,bath
659,adentro,inside
660,profesor,teacher
661,habitación,bedroom
662,daño,hurt
663,tuyo,yours
664,seas,be
665,noticias,news
666,demás,the rest
667,querido,my love
668,duro,Lasted
669,poner,set
670,prueba,proof
671,mire,Look
672,tonto,fool
673,campo,field
674,siendo,being
675,diez,ten
676,ése,that
677,tranquilo,quiet
678,asunto,affair
679,acabó,just
680,quédate,stay
681,derecho,right
682,placer,pleasure
683,recuerda,remember
684,estuve,was
685,tratando,trying
686,ejército,army
687,futuro,future
688,llevar,wear
689,compañía,company
690,venido,I come
691,listos,ready
692,haremos,will
693,sitio,site
694,verlo,see him
695,puesto,Market Stall
696,atención,attention
697,sino,otherwise
698,cambiar,change
699,error,error
700,blanco,White
701,raro,weird
702,palabras,words
703,llegó,I arrive
704,sal,Salt
705,pase,happens
706,mente,mind
707,sistema,system
708,película,film
709,anda,anda
710,ello,it
711,negocio,deal
712,novia,bride
713,permiso,Excuse me
714,creí,thought
715,suena,dream
716,ocurre,occurs
717,oficial,official
718,espere,Wait
719,aire,air
720,mató,he killed
721,regresar,to return
722,vio,he saw
723,hazlo,do it
724,trasero,rear
725,grupo,group
726,entendido,understood
727,señorita,miss
728,música,music
729,perra,bitch
730,conoce,known
731,empezar,begin
732,siente,feels
733,acabo,finished
734,estúpido,stupid
735,diferente,different
736,traje,suit
737,modo,mode
738,encontré,I found
739,mensaje,message
740,llamada,call
741,navidad,Christmas
742,eras,ages
743,pena,pain
744,largo,length
745,entra,enters
746,piso,floor
747,dijeron,they said
748,médico,doctor
749,accidente,accident
750,fuiste,you were
751,imposible,impossible
752,podríamos,we could
753,línea,line
754,propia,own
755,barco,boat
756,normal,normal
757,segundos,seconds
758,vive,it lives
759,mitad,half
760,quiera,want
761,tras,after
762,decirle,tell
763,lindo,cute
764,funciona,it works
765,vine,came
766,abre,opens
767,sean,are
768,pagar,to pay
769,fotos,Photos
770,centro,center
771,supone,supposed
772,basura,trash
773,situación,situation
774,mejores,top
775,vienen,they come
776,encanta,loves
777,marido,husband
778,personal,personal
779,maestro,teacher
780,hambre,hunger
781,ataque,attack
782,culo,ass
783,dale,Go ahead
784,pie,foot
785,conseguir,to get
786,trabajando,working
787,gracioso,funny
788,dejó,let
789,pudo,could
790,derecha,right
791,izquierda,left
792,próxima,next
793,pobre,poor
794,respuesta,answer
795,tipos,types
796,sentir,feel
797,pude,I could
798,darle,give him
799,voz,voice
800,gustan,like
801,vista,sight
802,salvo,except
803,loca,crazy
804,hotel,hotel
805,hicieron,they made
806,ten,ten
807,temo,fear
808,pelo,hair
809,llevo,I wear
810,ayer,Yesterday
811,das,you give
812,nena,Chick
813,servicio,service
814,bonito,nice
815,mes,month
816,tendrá,will have
817,tendrás,you will have
818,edad,age
819,ellas,they
820,hermosa,beautifull
821,honor,honor
822,simplemente,simply
823,llamas,calls
824,tengas,you have
825,corre,runs
826,baja,come down
827,sol,Sun
828,siéntate,Sit down
829,dan,give
830,humano,human
831,divertido,funny
832,sexo,sex
833,vuelto,turned
834,peligro,danger
835,siguiente,following
836,hablo,talked
837,disculpa,sorry
838,decirme,tell me
839,negocios,business
840,misión,mission
841,sale,comes out
842,llegado,arrived
843,estaría,It would
844,regreso,he came back
845,media,half
846,estan,are
847,propio,own self
848,oro,gold
849,enseguida,right away
850,linda,pretty
851,prometo,I promise
852,esposo,husband
853,norte,North
854,hubo,there was
855,juro,I swear
856,muerta,dead
857,interesante,interesting
858,pensaba,thought
859,terminar,finish
860,tendré,I will have
861,completamente,completely
862,cita,date
863,siete,seven
864,cumpleaños,birthday
865,abogado,attorney
866,alrededor,around
867,cerebro,brain
868,porqué,why
869,llave,wrench
870,santo,holy
871,hermoso,handsome
872,necesario,necessary
873,edificio,edifice
874,irnos,leave
875,aun,yet
876,tendremos,we will have
877,vayas,go
878,doy,give
879,trae,brings
880,salió,he left
881,ley,law
882,ahi,there
883,verdadero,true
884,pelea,Fight
885,banco,Bank
886,terrible,terrible
887,calma,Calm down
888,cena,Dinner
889,daré,I'll give
890,gobierno,government
891,comprar,purchase
892,creen,believe
893,sargento,sergeant
894,destino,destination
895,existe,exists
896,hacía,toward
897,novio,boyfriend
898,sala,living room
899,través,through
900,regalo,gift
901,iglesia,church
902,decía,He said
903,cualquiera,anyone
904,excelente,Excellent
905,esperen,expect
906,deseo,desire
907,alma,soul
908,diablo,Devil
909,deje,leave
910,cuántos,many
911,espada,sword
912,estábamos,we were
913,carne,meat
914,maravilloso,marvelous
915,vidas,lifes
916,sucedió,it happened
917,oí,I heard
918,peligroso,dangerous
919,dirección,address
920,libertad,Liberty
921,jesús,Jesus
922,ocurrió,occurred
923,veré,I will see
924,sueños,dreams
925,pudiera,could
926,detective,detective
927,sorpresa,surprise
928,tuya,yours
929,pies,feet
930,club,club
931,terminado,finished
932,creía,thought
933,luna,Moon
934,salvar,save
935,carta,letter
936,estés,re
937,cielos,Heavens
938,teniente,lieutenant
939,encuentra,find
940,veamos,let's see
941,quise,I wanted
942,escúchame,listen to me
943,necesitan,need
944,ambos,both of them
945,decisión,decision
946,enemigo,enemy
947,hicimos,we did
948,pruebas,tests
949,querías,wanted
950,abuelo,Grandpa
951,totalmente,totally
952,mirando,looking
953,vayan,go
954,carrera,race
